date,new_cases,new_deaths
2019/12/31,27,0
2020/1/1,0,0
2020/1/2,0,0
2020/1/3,17,0
2020/1/4,0,0
2020/1/5,15,0
2020/1/6,0,0
2020/1/7,0,0
2020/1/8,0,0
2020/1/9,0,0
2020/1/10,0,1
2020/1/11,0,0
2020/1/12,0,0
2020/1/13,1,0
2020/1/14,0,1
2020/1/15,1,0
2020/1/16,0,0
2020/1/17,5,0
2020/1/18,17,1
2020/1/19,136,0
2020/1/20,20,3
2020/1/21,153,11
2020/1/22,142,0
2020/1/23,97,9
2020/1/24,266,15
2020/1/25,453,15
2020/1/26,673,25
2020/1/27,797,25
2020/1/28,1767,26
2020/1/29,1480,38
2020/1/30,1756,43
2020/1/31,2003,46
2020/2/1,2120,46
2020/2/2,2608,57
2020/2/3,2818,65
2020/2/4,3243,66
2020/2/5,3907,72
2020/2/6,3751,73
2020/2/7,3218,86
2020/2/8,3442,89
2020/2/9,2619,97
2020/2/10,2988,108
2020/2/11,2565,97
2020/2/12,2072,255
2020/2/13,15151,13
2020/2/14,4215,144
2020/2/15,2560,142
2020/2/16,2162,106
2020/2/17,2067,98
2020/2/18,1995,139
2020/2/19,1864,116
2020/2/20,532,119
2020/2/21,996,112
2020/2/22,1085,104
2020/2/23,1008,156
2020/2/24,527,79
2020/2/25,793,64
2020/2/26,863,38
2020/2/27,1106,57
2020/2/28,1264,64
2020/2/29,1838,58
2020/3/1,1821,67
2020/3/2,2044,72
2020/3/3,1596,84
2020/3/4,2413,80
2020/3/5,2239,103
2020/3/6,2856,103
2020/3/7,3961,97
2020/3/8,3691,229
2020/3/9,3871,209
2020/3/10,4537,269
2020/3/11,4378,326
2020/3/12,6887,351
2020/3/13,8355,438
2020/3/14,9375,354
2020/3/15,8140,745
2020/3/16,16051,596
2020/3/17,12678,789
2020/3/18,14740,951
2020/3/19,18314,1041
2020/3/20,29214,1366
2020/3/21,28742,1690
2020/3/22,34011,1660
2020/3/23,33016,1764
2020/3/24,39785,2200
2020/3/25,38927,2426
2020/3/26,51204,2681
2020/3/27,59718,3318
2020/3/28,63937,3461
2020/3/29,65162,3125
2020/3/30,58487,3698
2020/3/31,62445,
